Year,Value,Innovation Name,Indicator Number,Indicator Name,Description,Metric,Data Source,Comments,Spatial Scale,File,Sheet
1920,13.795447595,washing machines,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1920,13.795447595,washing machines,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1920,13.795447595,washing machines,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1920,192.30500834971608,laundry dryers,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1920,192.30500834971608,laundry dryers,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1920,192.30500834971608,laundry dryers,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1921,45.860542005,washing machines,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1921,45.860542005,washing machines,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1921,45.860542005,washing machines,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1921,413.4557679518895,laundry dryers,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1921,413.4557679518895,laundry dryers,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1921,413.4557679518895,laundry dryers,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1922,96.19528323,washing machines,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1922,96.19528323,washing machines,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1922,96.19528323,washing machines,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1922,667.7791414943891,laundry dryers,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1922,667.7791414943891,laundry dryers,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1922,667.7791414943891,laundry dryers,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1922,0.011,dishwashers,1.1,Adoption over Time,Share of Households,%,OWID,HATCH data,United States,HATCH files,HATCH
1922,0.011,dishwashers,1.1,Adoption over Time,Share of Households,%,OWID,HATCH data,United States,HATCH files,HATCH
1922,0.011,dishwashers,1.1,Adoption over Time,Share of Households,%,OWID,HATCH data,United States,HATCH files,HATCH
1923,164.79967127,washing machines,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1923,164.79967127,washing machines,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1923,164.79967127,washing machines,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1923,960.2510210682634,laundry dryers,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1923,960.2510210682634,laundry dryers,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1923,960.2510210682634,laundry dryers,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1923,0.01,dishwashers,1.1,Adoption over Time,Share of Households,%,OWID,HATCH data,United States,HATCH files,HATCH
1923,0.01,dishwashers,1.1,Adoption over Time,Share of Households,%,OWID,HATCH data,United States,HATCH files,HATCH
1923,0.01,dishwashers,1.1,Adoption over Time,Share of Households,%,OWID,HATCH data,United States,HATCH files,HATCH
1924,251.673706125,washing machines,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1924,251.673706125,washing machines,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1924,251.673706125,washing machines,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1924,1296.5936825782192,laundry dryers,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1924,1296.5936825782192,laundry dryers,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1924,1296.5936825782192,laundry dryers,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1924,0.018,dishwashers,1.1,Adoption over Time,Share of Households,%,OWID,HATCH data,United States,HATCH files,HATCH
1924,0.018,dishwashers,1.1,Adoption over Time,Share of Households,%,OWID,HATCH data,United States,HATCH files,HATCH
1924,0.018,dishwashers,1.1,Adoption over Time,Share of Households,%,OWID,HATCH data,United States,HATCH files,HATCH
1925,356.81738779500006,washing machines,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1925,356.81738779500006,washing machines,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1925,356.81738779500006,washing machines,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1925,1683.387743314668,laundry dryers,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1925,1683.387743314668,laundry dryers,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1925,1683.387743314668,laundry dryers,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1926,480.2307162800001,washing machines,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1926,480.2307162800001,washing machines,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1926,480.2307162800001,washing machines,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1926,2128.200913161584,laundry dryers,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1926,2128.200913161584,laundry dryers,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1926,2128.200913161584,laundry dryers,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1927,621.9136915800001,washing machines,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1927,621.9136915800001,washing machines,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1927,621.9136915800001,washing machines,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1927,2639.7360584855383,laundry dryers,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1927,2639.7360584855383,laundry dryers,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1927,2639.7360584855383,laundry dryers,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1928,781.8663136950001,washing machines,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1928,781.8663136950001,washing machines,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1928,781.8663136950001,washing machines,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1928,3228.0014756080845,laundry dryers,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1928,3228.0014756080845,laundry dryers,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
1928,3228.0014756080845,laundry dryers,1.1,Adoption over Time,Cumulative Total Capacity,MW,Wilson & Grubler,HATCH data,United States,HATCH files,HATCH
