Code,Innovation Name,Spatial Scale,Indicator Number,Indicator Name,Description,Metric,Category,slope_log,slope_exp,slope_lin,log_t0,log_Dt,log_K,exp_a,exp_c,lin_intercept,log_r2,log_r2adj,log_rmse,log_mae,exp_r2,exp_r2adj,exp_rmse,exp_mae,lin_r2,lin_r2adj,lin_rmse,lin_mae,n_data_points,n_non_zero_data_points,max_over_K,min_over_K,range_over_k,length_trimmed_series_years,n_data_points_beyond_max,n_data_points_beyond_min,suspected_reversal_up2down,suspected_reversal_down2up,at_least_one_big_jump,autocorr_l1,all_values_less_than_or_equal_to_1,all_values_less_than_or_equal_to_100,C1_R2,C2_threshold_non_zero_value_years,C3_pct_non_zero,C4_less_than_250_jump_in_second_half,C4_less_than_80_fall_in_second_half,C4_combined_less_than_80_fall_and_250_jump_in_second_half,C5_volatility_autocorrelation_lag1_threshold_0.7,C6_{K_COVERAGE_THRESHOLD}_of_k_covered_by_data,C7_lin_r2,use_log,use_lin, old GN scoring @retreat,old GN comments,old CW scoring @retreat,comments_fit_CW,comments_delete_CW,comments_alternativeseries_CW,comments_transformations_CW,use_logfit_CW,use_linfit_CW,select_1.1_earegion_CW,select_1.1_allregions_CW,select_non1.1s_earegion_CW,select_non1.1s_allregions_CW,GN final scoring,use_logfit_GN,use_linfit_GN,select_1.1_earegion_GN,select_1.1_allregions_GN,select_non1.1s_earegion_GN,select_non1.1s_allregions_GN,PDF page,use_logfit_AGREE?,use_linfit_AGREE?,select_1.1_earegion_AGREE?,select_1.1_allregions_AGREE?,select_non1.1s_earegion_AGREE?,select_non1.1s_allregions_AGREE?,FINAL AGREED,use_logfit_FIN,use_linfit_FIN,select_1.1_earegion_FIN,select_1.1_allregions_FIN,select_non1.1s_earegion_FIN,select_non1.1s_allregions_FIN,Delete from working file,Unnamed: 89,code_without_indicator_name
eat_ger_1.1Ado_d258_m166,eating less meat,Germany,1.1,Adoption over time,Partial up to max % red in total meat consumption,Partial up to max % kg/yr,b1,,,-0.013249,,,,,,26.423,,,,,,,,,1,1,1.5765e-15,1.4155e-15,2,2,,,,2,1,0,0,0,0,0.49956,1,1,n,n,y,y,y,y,m,m,y,n,n,,,,too few,1,delete,transformed-partial,0,0,0,0,0,0,,1,1,0,0,0,0,265,check,check,,,,,,1,1,0,0,0,0,delete,,eat_ger_1.1_d258_m166
eat_ger_1.1Ado_d260_m170,eating less meat,Germany,1.1,Adoption over time,Partial up to max per capita beef consumption,Partial up to max Kg/yr,b1,-0.0010666,-0.00099417,-0.023182,-481.75,-4119.9,344.6,28.798,1765.1,69.159,0.065413,-0.40188,0.25203,0.2169,0.065427,-0.20159,0.25202,0.2169,0.065235,-0.20184,0.25205,0.217,10,10,0.068969,0.066757,0.0022128,10,1,2,1,1,0,0.89909,0,1,n,y,y,y,y,y,y,m,m,n,m,,,,not interested in this part of curve,1,delete,transformed-partial,0,0,0,0,0,0,,1,1,0,0,0,0,267,check,check,,,,,,1,1,0,0,0,0,delete,,eat_ger_1.1_d260_m170
eat_ger_1.1Ado_d262_m170,eating less meat,Germany,1.1,Adoption over time,Partial up to max per capita other meat consumption,Partial up to max kg/yr,b1,0.047747,0.047744,0.050807,2234.3,92.037,1.9301e+05,4.8751,2012.6,-99.343,0.48518,0.43193,0.59049,0.47484,0.48518,0.45086,0.59049,0.47484,0.34555,0.30192,0.66577,0.48838,33,33,2.4757e-05,4.6759e-06,2.0081e-05,33,1,13,0,1,0,0.91446,0,1,m,y,y,y,y,y,y,m,y,m,y,,,,not interested in this part of curve,1,delete,transformed-partial,0,0,0,0,0,0,,1,1,0,0,0,0,269,check,check,,,,,,1,1,0,0,0,0,delete,,eat_ger_1.1_d262_m170
eat_ger_1.1Ado_d264_m170,eating less meat,Germany,1.1,Adoption over time,Partial up to max per capita pig consumption,Partial up to max Kg/yr,b1,0.11889,0.017787,1.0357,1964.1,36.963,68.274,6.2147,1854.6,-1992.5,0.97688,0.97226,0.88966,0.65394,0.92159,0.91179,1.6385,1.262,0.93983,0.93231,1.4354,1.1028,19,19,0.9391,0.66583,0.27328,19,1,18,0,0,0,0.95047,0,1,y,y,y,y,y,y,y,y,y,y,y,,,,not interested in this part of curve,1,delete,transformed-partial,0,0,0,0,0,0,,1,1,0,0,0,0,271,check,check,,,,,,1,1,0,0,0,0,delete,,eat_ger_1.1_d264_m170
eat_ger_1.1Ado_d268_m170,eating less meat,Germany,1.1,Adoption over time,Partial up to max per capita sheep & goat consumption,Partial up to max Kg/yr,b1,0.28242,0.022055,0.019525,1971.9,15.56,0.95282,10.166,2098.2,-37.906,0.90044,0.888,0.058505,0.049294,0.67232,0.64611,0.10614,0.089069,0.72356,0.70145,0.097487,0.08452,28,28,1.1303,0.42532,0.70497,28,1,26,0,0,0,0.96625,0,1,y,y,y,y,y,y,y,y,y,y,y,,,,not interested in this part of curve,1,delete,transformed-partial,0,0,0,0,0,0,,1,1,0,0,0,0,275,check,check,,,,,,1,1,0,0,0,0,delete,,eat_ger_1.1_d268_m170
eat_ger_1.1Ado_d270_m170,eating less meat,Germany,1.1,Adoption over time,Partial up to max per capita total meat consumption,Partial up to max kg/yr,b1,0.11717,0.012376,1.149,1960.3,37.503,103.4,9.8224,1798.9,-2182.4,0.96756,0.96108,1.1801,0.92675,0.90917,0.89781,1.9749,1.5526,0.92242,0.91273,1.8251,1.4358,19,19,0.9641,0.75705,0.20705,19,1,18,0,0,0,0.94975,0,1,y,y,y,y,y,y,y,y,y,y,y,,,,not interested in this part of curve,1,delete,transformed-partial,0,0,0,0,0,0,,1,1,0,0,0,0,277,check,check,,,,,,1,1,0,0,0,0,delete,,eat_ger_1.1_d270_m170
mic_glo_3.5Mar_d242_m156,microfinance,Global,3.5,Market Formation,cumulative CumulativeStartups,cumulative cum. # companies,m10,0.12918,0.085128,140.36,2019.7,34.017,10231,0.005486,1858.7,-2.7919e+05,0.99943,0.99938,47.14,41.753,0.9885,0.98795,211.07,188.88,0.85808,0.85132,741.37,642.48,45,45,0.641,0.00029323,0.64071,45,0,44,0,0,1,0.93097,0,0,y,y,y,y,y,y,y,y,y,y,y,,,,not needed as transformed-cumulative twice (error),1,delete,transformed-cumx2error,0,0,0,0,0,0,,1,1,0,0,0,0,912,check,check,,,,,,1,1,0,0,0,0,delete,,mic_glo_3.5_d242_m156
mic_glo_3.5Mar_d243_m157,microfinance,Global,3.5,Market Formation,Partial up to max CumulativeStartups,Partial up to max cum. # companies,m10,0.13604,0.059444,9.0875,2009.1,32.302,408.04,0.29303,1901.7,-18047,0.99781,0.99765,5.6538,4.54,0.94789,0.94541,27.58,23.369,0.95416,0.95198,25.868,22.681,45,45,0.85042,0.0073523,0.84306,45,1,44,0,0,0,0.96143,0,0,y,y,y,y,y,y,y,y,y,y,y,,,,not needed as transformed-cumulative preferred,1,delete,transformed-partial,0,0,0,0,0,0,,1,1,0,0,0,0,913,check,check,,,,,,1,1,0,0,0,0,delete,,mic_glo_3.5_d243_m157
mic_glo_3.5Mar_d244_m158,microfinance,Global,3.5,Market Formation,cumulative NewStartups,cumulative # companies,m10,0.13604,0.059444,9.0875,2009.1,32.302,408.04,0.29303,1901.7,-18047,0.99781,0.99765,5.6538,4.54,0.94789,0.94541,27.58,23.369,0.95416,0.95198,25.868,22.681,45,45,0.85042,0.0073523,0.84306,45,1,44,0,0,0,0.96143,0,0,y,y,y,y,y,y,y,y,y,y,y,,,,not needed as cumulative in original data,1,delete,transformed-cumulative,0,0,0,0,0,0,,1,1,0,0,0,0,914,check,check,,,,,,1,1,0,0,0,0,delete,,mic_glo_3.5_d244_m158
mic_glo_3.5Mar_d245_m159,microfinance,Global,3.5,Market Formation,Partial up to max NewStartups,Partial up to max # companies,m10,0.09281,0.065077,0.38342,2006.3,47.349,22.962,7.2309,1998.6,-758.45,0.53571,0.47768,2.8928,2.0176,0.53355,0.49623,2.8996,2.0482,0.53219,0.49476,2.9038,1.9992,28,28,0.82744,0.043549,0.78389,28,1,26,0,0,1,0.77116,0,1,m,y,y,m,y,m,y,y,y,m,m,,,,not needed as transformed-cumulative preferred,1,delete,transformed-partial,0,0,0,0,0,0,,1,1,0,0,0,0,915,check,check,,,,,,1,1,0,0,0,0,delete,,mic_glo_3.5_d245_m159
