Code,Innovation Name,Spatial Scale,Indicator Number,Indicator Name,Description,Metric,Category,slope_log,slope_exp,slope_lin,log_t0,log_Dt,log_K,exp_a,exp_c,lin_intercept,log_r2,log_r2adj,log_rmse,log_mae,exp_r2,exp_r2adj,exp_rmse,exp_mae,lin_r2,lin_r2adj,lin_rmse,lin_mae
act_ams_1.1Ado_d122_m88,Active mobility,Amsterdam,1.1,Adoption over time,Modal share of all trips by residents (bike),% trips by bike,b7,-0.0023618,-0.0023613,-0.056291,-1644,-1860.7,1.3164e+05,28.368,1930.6,136.72,0.17886,-0.31382,3.044,2.7427,0.17886,-0.094847,3.044,2.7427,0.16499,-0.11334,3.0696,2.7808
act_ams_1.1Ado_d123_m89,Active mobility,Amsterdam,1.1,Adoption over time,Modal share of all trips by residents (walk),% trips by walking,b7,-0.0042181,-0.0042167,-0.10874,45.539,-1041.8,90204,44.186,1852.2,241.24,0.1654,-0.33536,6.0446,4.5681,0.1654,-0.1128,6.0446,4.5681,0.15869,-0.12175,6.0688,4.5795
act_ams_1.1Ado_d62_m29,Active mobility,Amsterdam,1.1,Adoption over time,Bike ownership,%,b7,0.072064,0.0054776,0.38502,1963.7,60.98,75.542,12.342,1684.8,-700.56,0.85336,0.70671,1.4962,1.2519,0.78529,0.67794,1.8104,1.7715,0.79629,0.69443,1.7635,1.7232
act_bei_1.1Ado_d59_m29,Active mobility,Beijing,1.1,Adoption over time,Bicycle modal share,%,b7,-0.16166,-0.034222,-1.425,2004.6,-27.183,56.684,72.766,1977.8,2885.2,1,1,1.2875e-13,1.2553e-13,0.92706,-inf,3.4213,3.0574,0.96449,-inf,2.3871,2.21
act_chi_1.1Ado_d60_m2,Active mobility,China,1.1,Adoption over time,Bicycle ownership,# bikes per hundred households,b7,0.1493,0.020393,2.6286,1980.8,29.434,156.32,3.2132,1817.8,-5121,0.31082,-inf,51.343,50.265,0.20425,-1.3873,55.17,49.509,0.23213,-1.3036,54.195,50.322
act_chi_3.2Adc_d61_m3,Active mobility,China,3.2,Adopter characteristics,Bicycle ownership among income groups,# bikes per hundred households (highest 10% income),b7,-0.25049,-0.017188,-3.0744,2008,-17.543,187.66,280.33,1964.3,6300.3,0.82934,-inf,12.667,10.677,0.51703,-0.4489,21.309,19.229,0.56489,-0.30533,20.226,18.246
act_chi_3.2Adc_d61_m4,Active mobility,China,3.2,Adopter characteristics,Bicycle ownership among income groups,# bikes per hundred households (lowest 10% income),b7,-3.6635,-0.0083411,-1.3736,2006.2,-1.1995,157.06,227.52,1941.8,2886.7,0.61758,-inf,16.895,12.122,0.12506,-1.6248,25.555,25.04,0.14203,-1.5739,25.306,24.861
act_chi_3.2Adc_d61_m5,Active mobility,China,3.2,Adopter characteristics,Bicycle ownership among income groups,# bikes per hundred households (middle income groups),b7,-0.35811,-0.013207,-2.4015,2007.8,-12.271,181.57,267.65,1958.3,4957,0.75315,-inf,14.824,11.464,0.32729,-1.0181,24.472,23.3,0.364,-0.90799,23.795,22.74
act_cop_1.1Ado_d122_m88,Active mobility,Copenhagen,1.1,Adoption over time,Modal share of all trips by residents (bike),% trips by bike,b7,0.014241,0.014241,0.33675,2730.5,308.58,8.2006e+05,6.4192,1904.9,-648.34,0.784,-inf,1.8985,1.8338,0.784,0.35201,1.8985,1.8338,0.7454,0.23619,2.0612,2.0026
act_cop_1.1Ado_d123_m89,Active mobility,Copenhagen,1.1,Adoption over time,Modal share of all trips by residents (walk),% trips by walking,b7,0.0018693,0.0018631,0.030769,4990.2,2350.9,4965.5,28.766,2237.3,-43.046,0.0078727,-inf,3.8254,3.1585,0.0078762,-1.9764,3.8254,3.1584,0.0070404,-1.9789,3.827,3.1692
act_net_1.1Ado_d162_m94,Active mobility,The Netherlands,1.1,Adoption over time,Passenger kilometres travelled by bike,Billion p.km,b7,0.17815,0.013226,0.21626,1998.6,24.668,17.492,6.6659,1947.9,-419.53,0.71531,0.64961,0.77647,0.6553,0.60366,0.54704,0.91615,0.789,0.62081,0.56664,0.89611,0.75497
act_net_1.1Ado_d163_m94,Active mobility,The Netherlands,1.1,Adoption over time,Passenger kilometres travelled by foot,Billion p.km,b7,0.046231,0.04623,0.21548,2245.9,95.054,2.2002e+05,7.9825,2024.7,-428.98,0.82968,0.79038,0.52885,0.38906,0.82968,0.80535,0.52885,0.38906,0.7949,0.7656,0.58034,0.44108
act_net_2.3Rel_d77_m137,Active mobility,The Netherlands,2.3,Relative Advantage (Co-benefits),Development of cycling distance per person,km,b7,-0.088744,-0.040613,-34.076,2018.4,-49.518,1569.1,1296,2005.7,69564,0.92374,0.69495,34.712,30.235,0.92148,0.84296,35.222,30.311,0.92308,0.84617,34.861,30.344
act_net_2.9Int_d134_m138,Active mobility,The Netherlands,2.9,Interdependence with hardware,Number of bicycles,million,b7,,0.01683,0.322,,,,5.3225,1930.4,-626.84,,,,,0.92236,0.76708,0.52808,0.5059,0.90207,0.70621,0.59309,0.575
cli_ban_1.1Ado_d71_m18,Climate protest,Bangladesh,1.1,Adoption over Time,Count of participants at protest events related to climate,# people (estimated),s3,-0.20146,0.089972,18.132,2434.1,-21.813,111.54,0.023617,1923.1,-36460,0,-0.33333,317.53,173.37,0.026697,-0.16796,313.27,169.47,0.045649,-0.14522,310.2,161.88
cli_ban_1.1Ado_d72_m20,Climate protest,Bangladesh,1.1,Adoption over Time,Count of protest events related to climate,# protest events,s3,-0.7979,0.12799,1.8187,2078.2,-5.5075,9.3846,9.1992,2017.2,-3658.9,-3.2641e-14,-0.33333,16.914,11.763,0.11556,-0.061327,15.907,10.359,0.16186,-0.0057636,15.485,9.6932
cli_ger_1.1Ado_d71_m18,Climate protest,Germany,1.1,Adoption over Time,Count of participants at protest events related to climate,# people (estimated),s3,40.123,0.20014,45.856,2020,0.10953,570.83,0.00038393,1953,-92329,0.36992,0.1599,322.67,146.14,0.14896,-0.021243,375,229.31,0.17816,0.013788,368.51,227.02
cli_ger_1.1Ado_d72_m20,Climate protest,Germany,1.1,Adoption over Time,Count of protest events related to climate,# protest events,s3,0.55459,0.51177,54.467,2026,7.9238,5215.3,3.6135e-08,1976.3,-1.097e+05,0.92641,0.90188,71.314,50.781,0.92613,0.91136,71.446,51.438,0.601,0.5212,166.05,124.63
cli_glo_1.1Ado_d71_m18,Climate protest,Global,1.1,Adoption over Time,Count of participants at protest events related to climate,# people (estimated),s3,781.4,0.22821,23497,2020,0.0056238,2.8233e+05,1.1765e-10,1868.3,-4.7314e+07,0.53678,0.38238,1.082e+05,52394,0.28074,0.13688,1.3483e+05,80313,0.30582,0.16698,1.3246e+05,82335
cli_glo_1.1Ado_d72_m20,Climate protest,Global,1.1,Adoption over Time,Count of protest events related to climate,# protest events,s3,2.5665,0.32388,286.75,2019.6,1.7123,3020.5,1.4801e-08,1942,-5.7748e+05,0.98971,0.98629,130.03,65.57,0.8161,0.77932,549.83,425.8,0.70027,0.64032,701.95,606.4
cli_ind_1.1Ado_d71_m18,Climate protest,India,1.1,Adoption over Time,Count of participants at protest events related to climate,# people (estimated),s3,-0.01867,0.075956,3.6184,6240.2,-235.38,25.329,1.0927,1975.7,-7273.1,-1.7542e-13,-0.33333,87.742,46.761,0.013221,-0.18413,87.16,47.056,0.02381,-0.17143,86.692,45.648
cli_ind_1.1Ado_d72_m20,Climate protest,India,1.1,Adoption over Time,Count of protest events related to climate,# protest events,s3,-0.13545,0.11054,1.5165,2605,-32.443,8.3846,10.015,2018.9,-3050.4,-1.1102e-15,-0.33333,20.923,11.42,0.047804,-0.14264,20.417,11.21,0.073545,-0.11175,20.139,10.661
cli_swe_1.1Ado_d71_m18,Climate protest,Sweden,1.1,Adoption over Time,Count of participants at protest events related to climate,# people (estimated),s3,102.22,0.39541,9.4124,2021,0.042991,140.35,0.007599,1998.3,-18958,0.7728,0.69706,27.045,11.823,0.52763,0.43316,38.996,22.563,0.38528,0.26234,44.485,30.453
cli_swe_1.1Ado_d72_m20,Climate protest,Sweden,1.1,Adoption over Time,Count of protest events related to climate,# protest events,s3,12.04,0.32417,56.709,2019.8,0.36499,582.33,4.7697e-06,1964.9,-1.1421e+05,0.99913,0.99883,7.7889,3.3362,0.75556,0.70668,130.26,105.59,0.64864,0.57837,156.17,135.72
cli_uki_1.1Ado_d71_m18,Climate protest,United Kingdom,1.1,Adoption over Time,Count of participants at protest events related to climate,# people (estimated),s3,47.024,0.30546,7.7839,2020,0.093451,90.487,0.038129,1997.4,-15676,0.76956,0.69274,20.826,8.9839,0.50406,0.40488,30.552,18.916,0.45069,0.34083,32.154,22.168
cli_uki_1.1Ado_d72_m20,Climate protest,United Kingdom,1.1,Adoption over Time,Count of protest events related to climate,# protest events,s3,638.31,0.24732,17.473,2019.1,0.0068845,189.25,0.00079707,1972.8,-35184,0.87997,0.83996,32.259,14.538,0.47821,0.37385,67.26,53.355,0.49297,0.39156,66.302,56.159
cli_usa_1.1Ado_d71_m18,Climate protest,United States,1.1,Adoption over Time,Count of participants at protest events related to climate,# people (estimated),s3,65.309,0.20397,16.902,2019.2,0.067287,201.62,0.0021963,1967.6,-34030,0.5588,0.41173,82.686,39.373,0.22131,0.065567,109.85,67.084,0.2581,0.10972,107.22,66.197
cli_usa_1.1Ado_d72_m20,Climate protest,United States,1.1,Adoption over Time,Count of protest events related to climate,# protest events,s3,56.734,0.32844,23.055,2020,0.077457,256,3.1735e-05,1974.2,-46432,0.97725,0.96966,16.59,7.2315,0.72468,0.66962,57.707,43.032,0.61523,0.53827,68.22,54.259
coh_den_1.1Ado_d135_m7,Co-housing,Denmark,1.1,Adoption over time,Number of cohousing communities,# communities,b11,0.22051,0.033741,2.6225,1984.9,19.929,101.42,1.6723,1886.7,-5160.5,0.98488,0.97731,4.8001,4.2608,0.78505,0.72364,18.096,15.686,0.91844,0.89514,11.147,9.6045
coh_den_1.1Ado_d139_m22,Co-housing,Denmark,1.1,Adoption over time,Number of housing units in cohousing communities,# residents,b11,0.21247,0.033852,58.453,1985.3,20.683,2285.2,0.12287,1718.9,-1.1503e+05,0.98448,0.97517,109.66,101.47,0.77105,0.69473,421.16,375.09,0.91189,0.88252,261.27,233.12
