Code,Innovation Name,Spatial Scale,Indicator Number,Indicator Name,Description,Metric,Category,n_data_points,n_non_zero_data_points,slope_log,slope_exp,slope_lin,log_t0,log_Dt,log_K,exp_a,exp_c,lin_intercept,log_r2,log_r2adj,log_rmse,log_mae,exp_r2,exp_r2adj,exp_rmse,exp_mae,lin_r2,lin_r2adj,lin_rmse,lin_mae, GN scoring ,GN comments,CW scoring,page,Code,Criterion,Counts,
act_ams_1.1Ado_d122_m88,Active mobility,Amsterdam,1.1,Adoption over time,Modal share of all trips by residents (bike),% trips by bike,b7,9,9,-0.0023618,-0.0023613,-0.056291,-1644,-1860.7,1.32E+05,28.368,1930.6,136.72,0.17886,-0.31382,3.044,2.7427,0.17886,-0.094847,3.044,2.7427,0.16499,-0.11334,3.0696,2.7808, 2 ,,,1,1,=good,264,48%
act_ams_1.1Ado_d123_m89,Active mobility,Amsterdam,1.1,Adoption over time,Modal share of all trips by residents (walk),% trips by walking,b7,9,9,-0.0042181,-0.0042167,-0.10874,45.539,-1041.8,90204,44.186,1852.2,241.24,0.1654,-0.33536,6.0446,4.5681,0.1654,-0.1128,6.0446,4.5681,0.15869,-0.12175,6.0688,4.5795, 4 ,,"ok, use logfit",2,2,=ok,139,26%
act_ams_1.1Ado_d62_m29,Active mobility,Amsterdam,1.1,Adoption over time,Bike ownership,%,b7,7,7,0.072064,0.0054776,0.38502,1963.7,60.98,75.542,12.342,1684.8,-700.56,0.85336,0.70671,1.4962,1.2519,0.78529,0.67794,1.8104,1.7715,0.79629,0.69443,1.7635,1.7232, 1 ,,,3,3,=poor,37,7%
act_bei_1.1Ado_d59_m29,Active mobility,Beijing,1.1,Adoption over time,Bicycle modal share,%,b7,3,3,-0.16166,-0.034222,-1.425,2004.6,-27.183,56.684,72.766,1977.8,2885.2,1,1,1.29E-13,1.26E-13,0.92706,#NAME?,3.4213,3.0574,0.96449,#NAME?,2.3871,2.21, 2 ,,,4,4,=discont/reversal,105,19%
act_chi_1.1Ado_d60_m2,Active mobility,China,1.1,Adoption over time,Bicycle ownership,# bikes per hundred households,b7,4,4,0.1493,0.020393,2.6286,1980.8,29.434,156.32,3.2132,1817.8,-5121,0.31082,#NAME?,51.343,50.265,0.20425,-1.3873,55.17,49.509,0.23213,-1.3036,54.195,50.322, 4 ,,"reject, too few points",5,,,545,
act_chi_3.2Adc_d61_m3,Active mobility,China,3.2,Adopter characteristics,Bicycle ownership among income groups,# bikes per hundred households (highest 10% income),b7,4,4,-0.25049,-0.017188,-3.0744,2008,-17.543,187.66,280.33,1964.3,6300.3,0.82934,#NAME?,12.667,10.677,0.51703,-0.4489,21.309,19.229,0.56489,-0.30533,20.226,18.246, 2 ,,,6,,,,
act_chi_3.2Adc_d61_m4,Active mobility,China,3.2,Adopter characteristics,Bicycle ownership among income groups,# bikes per hundred households (lowest 10% income),b7,4,4,-3.6635,-0.0083411,-1.3736,2006.2,-1.1995,157.06,227.52,1941.8,2886.7,0.61758,#NAME?,16.895,12.122,0.12506,-1.6248,25.555,25.04,0.14203,-1.5739,25.306,24.861, 2 ,,,7,,,,
act_chi_3.2Adc_d61_m5,Active mobility,China,3.2,Adopter characteristics,Bicycle ownership among income groups,# bikes per hundred households (middle income groups),b7,4,4,-0.35811,-0.013207,-2.4015,2007.8,-12.271,181.57,267.65,1958.3,4957,0.75315,#NAME?,14.824,11.464,0.32729,-1.0181,24.472,23.3,0.364,-0.90799,23.795,22.74, 2 ,,,8,,,,
act_cop_1.1Ado_d122_m88,Active mobility,Copenhagen,1.1,Adoption over time,Modal share of all trips by residents (bike),% trips by bike,b7,4,4,0.014241,0.014241,0.33675,2730.5,308.58,8.20E+05,6.4192,1904.9,-648.34,0.784,#NAME?,1.8985,1.8338,0.784,0.35201,1.8985,1.8338,0.7454,0.23619,2.0612,2.0026, 2 ,,,9,,,,
act_cop_1.1Ado_d123_m89,Active mobility,Copenhagen,1.1,Adoption over time,Modal share of all trips by residents (walk),% trips by walking,b7,4,4,0.0018693,0.0018631,0.030769,4990.2,2350.9,4965.5,28.766,2237.3,-43.046,0.0078727,#NAME?,3.8254,3.1585,0.0078762,-1.9764,3.8254,3.1584,0.0070404,-1.9789,3.827,3.1692, 4 ,,"ok, use logfit",10,,,,
