Code,Innovation Name,Spatial Scale,Indicator Number,Indicator Name,Description,Metric,Category,slope_log,slope_exp,slope_lin,log_t0,log_Dt,log_K,exp_a,exp_c,lin_intercept,log_r2,log_r2adj,log_rmse,log_mae,exp_r2,exp_r2adj,exp_rmse,exp_mae,lin_r2,lin_r2adj,lin_rmse,lin_mae,n_data_points,n_non_zero_data_points,max_over_K,min_over_K,range_over_k,length_trimmed_series_years,n_data_points_beyond_max,n_data_points_beyond_min,suspected_reversal_up2down,suspected_reversal_down2up,at_least_one_big_jump,autocorr_l1,all_values_less_than_or_equal_to_1,all_values_less_than_or_equal_to_100,C1_R2,C2_threshold_non_zero_value_years,C3_pct_non_zero,C4_less_than_250_jump_in_second_half,C4_less_than_80_fall_in_second_half,C4_combined_less_than_80_fall_and_250_jump_in_second_half,C5_volatility_autocorrelation_lag1_threshold_0.7,C6_{K_COVERAGE_THRESHOLD}_of_k_covered_by_data,C7_lin_r2,use_log,use_lin
crs_ger_1.1Ado_d233_m012,car sharing,Germany,1.1,Adoption over time,registered drivers,# drivers,m9,0.21557,0.19421,1.5336e+05,2030.2,20.385,2.553e+07,8.8746e-11,1825,-3.0727e+08,0.98588,0.98412,1.75e+05,1.2482e+05,0.98533,0.98416,1.784e+05,1.3187e+05,0.70735,0.68394,7.9681e+05,6.2992e+05,28,28,0.21567,0.00074421,0.21492,28,0,27,0,0,0,0.8164,0,0,y,y,y,y,y,y,y,y,y,y,y
crs_ger_2.5Var_d216_m012,car sharing,Germany,2.5,Choice availability,free-floating cars - registered drivers,# drivers,m9,0.21399,0.21398,3.2369e+05,2073.4,20.536,1.7161e+11,5.6795e-12,1831.5,-6.5158e+08,0.96965,0.95953,2.2165e+05,1.8919e+05,0.96965,0.96358,2.2165e+05,1.8919e+05,0.90616,0.88739,3.8976e+05,2.8775e+05,13,13,2.6254e-05,2.156e-07,2.6039e-05,13,0,12,0,0,1,0.79141,0,0,y,y,y,y,y,y,y,m,y,m,y
crs_ger_2.5Var_d217_m025,car sharing,Germany,2.5,Choice availability,free-floating cars - registered vehicles,# vehicles,m9,0.1774,0.1774,1598.6,2091.5,24.771,3.8029e+09,1.5536e-07,1878.8,-3.2156e+06,0.95201,0.93601,1424.3,1309.1,0.95201,0.94241,1424.2,1309.1,0.84641,0.81569,2547.9,1923.9,13,13,6.9289e-06,3.4184e-07,6.5871e-06,13,0,12,0,0,1,0.7929,0,0,y,y,y,y,y,y,y,m,y,m,y
crs_ger_2.5Var_d218_m092,car sharing,Germany,2.5,Choice availability,free-floating cars as % of all shared cars,% vehicles,m9,2.3639,0.11309,0.025934,2012.2,1.859,0.47376,2.3684,2034.8,-51.933,0.96928,0.96544,0.040667,0.023258,0.80496,0.78935,0.10247,0.084869,0.81521,0.80043,0.099738,0.080944,28,13,1.2902,0.38648,0.90368,13,0,12,0,0,1,0.91266,1,1,y,y,y,y,y,y,y,y,y,y,y
crs_ger_2.5Var_d237_m012,car sharing,Germany,2.5,Choice availability,station-based or combined - registered drivers,# drivers,m9,0.1802,0.12298,34099,2022.1,24.387,1.6793e+06,1.2683e-06,1800.9,-6.8249e+07,0.99698,0.9966,16241,11892,0.98846,0.98754,31729,26770,0.86946,0.85901,1.0673e+05,94183,28,28,0.59575,0.011314,0.58443,28,0,27,0,0,0,0.89494,0,0,y,y,y,y,y,y,y,y,y,y,y
crs_ger_2.5Var_d238_m025,car sharing,Germany,2.5,Choice availability,station-based or combined - registered vehicles,# vehicles,m9,0.13982,0.092324,574.33,2021.1,31.428,27468,0.00037292,1832.6,-1.1482e+06,0.99519,0.99459,334.41,282.16,0.98509,0.9839,588.97,511.95,0.92514,0.91915,1319.7,1138.2,28,28,0.61017,0.040047,0.57013,28,0,27,0,0,0,0.91945,0,0,y,y,y,y,y,y,y,y,y,y,y
crs_ger_2.9Int_d236_m025,car sharing,Germany,2.9,Interdependence with Hardware,shared vehicles,# vehicles,m9,0.14721,0.13432,1286,2034.2,29.852,2.232e+05,8.1127e-06,1857.6,-2.5741e+06,0.98412,0.98214,1444.1,1158.1,0.9837,0.98239,1463.4,1165.7,0.82147,0.80718,4842.6,3952.2,28,28,0.19314,0.0049283,0.18821,28,0,27,0,0,0,0.85959,0,0,y,y,y,y,y,y,y,m,y,m,y
crs_ger_3.5Mar_d074_m128,car sharing,Germany,3.5,Market Formation,CumulativeStartups,cum. # companies,m9,0.23975,0.10589,0.51225,2015.7,18.329,27.299,9.7867,2014.2,-1019.8,0.98962,0.98886,0.78556,0.55153,0.95741,0.95538,1.5911,1.1577,0.74459,0.73243,3.8963,3.4729,45,28,0.84252,0.036631,0.80589,28,2,27,0,0,0,0.92947,0,1,y,y,y,y,y,y,y,y,y,y,y
crs_ger_3.5Mar_d126_m008,car sharing,Germany,3.5,Market Formation,NewStartups,# companies,m9,1291.7,0.054056,0.035705,2007.2,0.003402,1.2353,0.22507,1989.7,-70.97,0.31353,0.2633,0.83078,0.42614,0.18429,0.14545,0.90561,0.59713,0.21386,0.17643,0.88905,0.57887,45,13,4.0476,0.80952,3.2381,26,6,25,1,0,1,0.40351,0,1,m,y,y,m,m,m,m,y,m,m,m
crs_ger_3.5Mar_d171_m011,car sharing,Germany,3.5,Market Formation,PrivateEquityDeals,# deals,m9,0.62565,0.007646,0.070224,2014.7,7.0239,3.1875,1553.7,1.576e+05,-139.88,0.71447,0.69357,0.73545,0.34652,-0.26694,-0.32728,1.5492,0.71111,0.43908,0.41237,1.0308,0.80585,45,12,1.5686,0.31372,1.2549,13,2,12,1,0,1,0.82407,0,1,y,y,y,m,y,m,y,y,y,m,m
crs_ger_3.5Mar_d175_m027,car sharing,Germany,3.5,Market Formation,PrivateEquityInvestment,$ million,m9,2.9426,0.16696,1.4549,2019.5,1.4934,108.35,2.4318,2001.5,-2899.8,0.66154,0.63677,23.223,6.3209,0.43417,0.40722,30.026,12.79,0.22406,0.18711,35.162,21.702,45,10,1.9906,0.022677,1.968,12,2,8,1,1,1,0.70249,0,0,m,y,y,m,y,m,y,y,m,m,m
crs_ger_3.5Mar_d200_m027,car sharing,Germany,3.5,Market Formation,TotalFundraisingAmount,$ million,m9,38.085,0.18962,9.2407,2020.1,0.11538,824.44,5.2289e-05,1937.3,-18420,0.46344,0.42418,250.29,68.825,0.26397,0.22892,293.15,95.273,0.12336,0.081614,319.92,142.01,45,12,2.7343,0.0014463,2.7329,13,3,7,1,1,1,0.18926,0,0,m,y,y,m,m,m,m,y,m,m,m
crs_ger_3.5Mar_d204_m011,car sharing,Germany,3.5,Market Formation,TotalFundraisingDeals,# deals,m9,0.82349,0.012735,0.12398,2015.6,5.3364,5.9552,1552.6,1.577e+05,-246.89,0.79481,0.7798,1.0626,0.533,-0.31237,-0.37486,2.6874,1.3111,0.4711,0.44591,1.7061,1.2644,45,17,1.6792,0.16792,1.5113,39,3,38,0,0,1,0.82769,0,1,y,y,y,m,m,m,y,y,y,m,m
crs_ger_4.1Kso_d213_m100,car sharing,Germany,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,m9,21.647,0.12513,3.5117,2016.9,0.20301,58.071,0.65986,1987.5,-7051.1,0.77386,0.73395,14.922,7.5331,0.39756,0.33062,24.355,17.744,0.45924,0.39916,23.075,16.656,21,8,1.722,0.52183,1.2002,8,6,3,1,1,1,0.83842,0,1,y,y,y,y,y,y,y,y,y,y,y
crs_ger_4.2Kme_d001_m132,car sharing,Germany,4.2,Knowledge Flows (mass media),"""car sharing"" mention in books",index (2022=100),m9,0.20878,0.12447,4.1051,2018.2,21.049,155.13,0.18231,1970.2,-8213.7,0.97131,0.9674,5.6147,5.1835,0.95503,0.95112,7.03,5.9975,0.86257,0.85062,12.29,10.506,26,26,0.64463,0.0036045,0.64103,26,0,25,0,0,1,0.91067,0,1,y,y,y,y,y,y,y,y,y,y,y
crs_glo_3.3Leg_d235_m020,car sharing,Global,3.3,Risk & Uncertainty (Shared Expectations),scientific publications,# publications,m9,0.76721,0.15114,7.5509,2017.2,5.7278,599.57,0.00015335,1922.4,-14996,0.96724,0.96531,33.136,13.306,0.85719,0.85169,69.186,37.007,0.42869,0.40671,138.38,107.23,55,31,1.2142,0.0016679,1.2125,44,3,43,0,0,1,0.92661,0,0,y,y,y,y,y,y,y,y,y,y,y
crs_glo_3.5Mar_d074_m128,car sharing,Global,3.5,Market Formation,CumulativeStartups,cum. # companies,m9,0.25922,0.10787,6.0866,2015.7,16.952,324.98,0.024613,1935.7,-12116,0.99432,0.99391,6.9906,5.8813,0.95891,0.95695,18.804,13.624,0.72618,0.71314,48.54,42.918,45,43,0.84928,0.0030771,0.8462,43,0,42,0,0,0,0.93268,0,0,y,y,y,y,y,y,y,y,y,y,y
crs_glo_3.5Mar_d126_m008,car sharing,Global,3.5,Market Formation,NewStartups,# companies,m9,0.60412,0.053732,0.42714,2008.7,7.2741,16.05,9.1395,2012.2,-849,0.62337,0.59581,5.1127,3.0809,0.38354,0.35418,6.5411,4.5711,0.44339,0.41688,6.2154,4.4379,45,35,1.8068,0.062304,1.7445,43,8,42,1,0,1,0.93314,0,1,m,y,y,y,y,y,y,y,y,m,y
crs_glo_3.5Mar_d171_m011,car sharing,Global,3.5,Market Formation,PrivateEquityDeals,# deals,m9,0.81266,0.099582,0.91647,2013.6,5.4075,38.125,6.9255,2004.9,-1825.3,0.90602,0.89914,4.8064,2.169,0.71392,0.70029,8.3858,5.9143,0.57633,0.55616,10.205,8.5432,45,19,1.3639,0.026229,1.3377,28,3,27,1,0,1,0.95044,0,1,y,y,y,y,y,y,y,y,y,y,y
crs_glo_3.5Mar_d175_m027,car sharing,Global,3.5,Market Formation,PrivateEquityInvestment,$ million,m9,0.1695,0.078857,72.166,2284.3,25.926,11726,0.005882,1856.7,-1.437e+05,-0.11534,-0.19695,2407.8,774.3,0.17664,0.13744,2068.8,1081.4,0.16899,0.12942,2078.4,1188.3,45,18,0.99699,0.00010988,0.99688,19,5,18,1,0,1,0.32313,0,0,n,y,y,m,m,m,m,y,m,n,m
crs_glo_3.5Mar_d200_m027,car sharing,Global,3.5,Market Formation,TotalFundraisingAmount,$ million,m9,,0.075492,154.29,,,,0.01763,1853.9,-3.0716e+05,,,,,0.28325,0.24912,3210.2,2079.3,0.27925,0.24493,3219.2,2256.2,45,19,,,,19,8,18,1,0,1,0.5282,0,0,n,y,y,m,m,m,m,m,m,n,m
crs_glo_3.5Mar_d204_m011,car sharing,Global,3.5,Market Formation,TotalFundraisingDeals,# deals,m9,0.68118,0.10081,1.381,2013.6,6.4512,57.915,1.6773,1986.9,-2750.4,0.92211,0.91641,6.4557,3.1016,0.75337,0.74162,11.487,7.9465,0.60123,0.58224,14.607,12.386,45,24,1.3295,0.017267,1.3123,39,3,38,0,0,1,0.94954,0,1,y,y,y,m,y,m,y,y,y,m,m
