Code,Innovation Name,Spatial Scale,Indicator Number,Indicator Name,Description,Metric,Category,slope_log,slope_exp,slope_lin,log_t0,log_Dt,log_K,exp_a,exp_c,lin_intercept,log_r2,log_r2adj,log_rmse,log_mae,exp_r2,exp_r2adj,exp_rmse,exp_mae,lin_r2,lin_r2adj,lin_rmse,lin_mae,n_data_points,n_non_zero_data_points,max_over_K,min_over_K,range_over_k,length_trimmed_series_years,n_data_points_beyond_max,n_data_points_beyond_min,suspected_reversal_up2down,suspected_reversal_down2up,at_least_one_big_jump,autocorr_l1,all_values_less_than_or_equal_to_1,all_values_less_than_or_equal_to_100,C1_R2,C2_threshold_non_zero_value_years,C3_pct_non_zero,C4_less_than_250_jump_in_second_half,C4_less_than_80_fall_in_second_half,C4_combined_less_than_80_fall_and_250_jump_in_second_half,C5_volatility_autocorrelation_lag1_threshold_0.7,C6_{K_COVERAGE_THRESHOLD}_of_k_covered_by_data,C7_lin_r2,use_log,use_lin, GN scoring ,GN comments,CW scoring,Category_letters
act_ams_1.1Ado_d063_m028,active mobility,Amsterdam,1.1,Adoption over time,Bike ownership,%,b7,-0.011465,0.0054776,0.0038502,4079.4,-383.29,0.69857,0.76729,2018.3,-7.0056,-1.4439e-10,-1,0.039071,0.030204,0.78529,0.67794,0.018104,0.017715,0.79629,0.69443,0.017635,0.017232,7,7,1.0736,0.88753,0.18609,29,1,6,0,0,0,0.86693,1,1,n,y,y,y,y,y,y,m,y,n,y,1,,,b
act_ams_1.1Ado_d121_m090,active mobility,Amsterdam,1.1,Adoption over time,Modal share of all trips by residents (bike),% trips by bike,b7,-0.0023617,-0.0023613,-0.00056291,-1668,-1860.7,1393,0.67031,1566.4,1.3672,0.17886,-0.31382,0.03044,0.027427,0.17886,-0.094847,0.03044,0.027427,0.16499,-0.11334,0.030696,0.027808,9,9,0.00022255,0.00014358,7.8969e-05,84,8,2,0,0,0,0.84023,1,1,n,y,y,y,y,y,y,m,m,n,m,2,,,b
act_ams_1.1Ado_d122_m091,active mobility,Amsterdam,1.1,Adoption over time,Modal share of all trips by residents (walk),% trips by walking,b7,-0.0042177,-0.0042167,-0.0010874,43.183,-1041.9,910.35,0.083316,2247.9,2.4124,0.1654,-0.33536,0.060446,0.045682,0.1654,-0.1128,0.060446,0.045681,0.15869,-0.12175,0.060688,0.045795,9,9,0.00038447,0.00013182,0.00025265,84,8,7,0,1,1,0.78584,1,1,n,y,y,y,y,y,y,m,m,n,m,4,,"ok, use logfit",b
act_bei_1.1Ado_d060_m028,active mobility,Beijing,1.1,Adoption over time,Bicycle modal share,%,b7,-0.16166,-0.00040147,-0.01425,2004.6,-27.183,0.56684,-1544.5,-1.526e+05,28.852,1,1,2.154e-10,1.9821e-10,-9.2413,-inf,0.4054,0.3851,0.96449,-inf,0.023871,0.0221,3,3,0.95317,0.40576,0.54742,22,2,0,0,0,0,0.60149,1,1,y,m,y,y,y,y,m,y,y,m,m,2,,,b
act_chi_1.1Ado_d061_m002,active mobility,China,1.1,Adoption over time,Bicycle ownership,# bikes per hundred households,b7,0.1493,0.020393,2.6286,1980.8,29.433,156.33,3.2025,1817.7,-5121,0.31082,-inf,51.343,50.265,0.20425,-1.3873,55.17,49.509,0.23213,-1.3036,54.195,50.322,4,4,1.2612,0.14636,1.1148,30,1,2,1,1,1,0.47132,0,0,m,m,y,m,y,m,m,y,m,m,m,4,,"reject, too few points",b
act_chi_3.2Adc_d062_m003,active mobility,China,3.2,Adopter characteristics,Bicycle ownership among income groups,# bikes per hundred households (highest 10% income),b7,-0.25046,-0.017188,-3.0744,2008,-17.546,187.66,280.33,1964.3,6300.3,0.82934,-inf,12.667,10.676,0.51703,-0.4489,21.309,19.229,0.56489,-0.30533,20.226,18.246,4,4,1.0823,0.62878,0.45352,21,2,0,1,0,0,0.78003,0,0,y,m,y,y,y,y,y,y,y,m,m,2,,,b
act_chi_3.2Adc_d062_m004,active mobility,China,3.2,Adopter characteristics,Bicycle ownership among income groups,# bikes per hundred households (lowest 10% income),b7,-4.0402,-0.0083411,-1.3736,2006.2,-1.0877,157.06,227.52,1941.8,2886.7,0.61758,-inf,16.895,12.122,0.12506,-1.6248,25.555,25.04,0.14203,-1.5739,25.306,24.861,4,4,1.1498,0.68431,0.46548,21,2,0,1,0,0,0.80089,0,0,m,m,y,y,y,y,y,y,m,m,m,2,,,b
act_chi_3.2Adc_d062_m005,active mobility,China,3.2,Adopter characteristics,Bicycle ownership among income groups,# bikes per hundred households (middle income groups),b7,-0.35803,-0.013207,-2.4015,2007.8,-12.274,181.57,267.65,1958.3,4957,0.75315,-inf,14.824,11.463,0.32729,-1.0181,24.472,23.3,0.364,-0.90799,23.795,22.74,4,4,1.1186,0.65538,0.46323,21,2,0,1,0,0,0.79113,0,0,y,m,y,y,y,y,y,y,y,m,m,2,,,b
act_chi_4.1Kso_d213_m100,active mobility,China,4.1,Knowledge Flows (social networks),annualised Google search frequency (index 100=monthly max.),Index 0-100,b7,2.095,0.076912,3.6253,2013.4,2.0976,61.747,0.65739,1963.6,-7267.6,0.79934,0.76393,14.129,9.9399,0.36338,0.29265,25.166,21.242,0.48439,0.4271,22.649,17.771,21,20,1.6195,0.017461,1.602,21,8,20,1,0,1,0.93024,0,1,y,y,y,y,y,y,y,y,y,y,y,,,,b
act_chi_4.1Kso_d239_m153,active mobility,China,4.1,Knowledge Flows (social networks),Partial up to max annualised Google search frequency (index 100=monthly max.),Partial up to max Index 0-100,b7,1.0431,0.49369,6.5779,2014.6,4.213,123.43,0.019473,1998.6,-13201,0.99639,0.99519,1.8903,1.5688,0.97515,0.97018,4.9601,3.8128,0.61177,0.53412,19.606,16.835,13,12,0.81017,0.0087349,0.80143,13,0,12,0,0,1,0.66032,0,1,y,y,y,y,y,y,m,y,y,m,m,,,,b
