Code,Innovation Name,Spatial Scale,Indicator Number,Indicator Name,Description,Metric,Category,slope_log,slope_exp,slope_lin,log_t0,log_Dt,log_K,exp_a,exp_c,lin_intercept,log_r2,log_r2adj,log_rmse,log_mae,exp_r2,exp_r2adj,exp_rmse,exp_mae,lin_r2,lin_r2adj,lin_rmse,lin_mae,n_data_points,n_non_zero_data_points,max_over_K,min_over_K,range_over_k,length_trimmed_series_years,n_data_points_beyond_max,n_data_points_beyond_min,suspected_reversal_up2down,suspected_reversal_down2up,at_least_one_big_jump,autocorr_l1,all_values_less_than_or_equal_to_1,all_values_less_than_or_equal_to_100,C1_R2,C2_threshold_non_zero_value_years,C3_pct_non_zero,C4_less_than_250_jump_in_second_half,C4_less_than_80_fall_in_second_half,C4_combined_less_than_80_fall_and_250_jump_in_second_half,C5_volatility_autocorrelation_lag1_threshold_0.7,C6_{K_COVERAGE_THRESHOLD}_of_k_covered_by_data,C7_lin_r2,use_log_x,use_lin_x,use_log_y,use_lin_y, old GN scoring @retreat,old GN comments,old CW scoring @retreat,comments_fit_CW,comments_delete_CW,comments_alternativeseries_CW,comments_transformations_CW,use_logfit_CW,use_linfit_CW,select_1.1_earegion_CW,select_1.1_allregions_CW,select_non1.1s_earegion_CW,select_non1.1s_allregions_CW,GN final scoring,use_logfit_GN,use_linfit_GN,select_1.1_earegion_GN,select_1.1_allregions_GN,select_non1.1s_earegion_GN,select_non1.1s_allregions_GN,PDF page,use_logfit_AGREE?,use_linfit_AGREE?,select_1.1_earegion_AGREE?,select_1.1_allregions_AGREE?,select_non1.1s_earegion_AGREE?,select_non1.1s_allregions_AGREE?,FINAL AGREED,use_logfit_FIN,use_linfit_FIN,select_1.1_earegion_FIN,select_1.1_allregions_FIN,select_non1.1s_earegion_FIN,select_non1.1s_allregions_FIN,Delete from working file,Unnamed: 89
act_ams_1.1Ado_d063_m195,active mobility,Amsterdam,1.1,Adoption over time,Bike ownership,%,b7,6.1161,0.0054776,0.0038502,1984.7,0.7185,0.71167,0.76777,2018.5,-7.0056,0.67402,0.34804,0.022307,0.018571,0.78529,0.67794,0.018104,0.017715,0.79629,0.69443,0.017635,0.017232,7,7,1.0539,0.87119,0.18267,29,1,6,0,0,0,0.86693,1,1,m,y,y,y,y,y,y,m,y,m,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
act_ams_1.1Ado_d121_m090,active mobility,Amsterdam,1.1,Adoption over time,Modal share of all trips by residents (bike),% trips by bike,b7,-0.0023618,-0.0023613,-0.00056291,-1580,-1860.6,1132.1,0.67031,1566.4,1.3672,0.17886,-0.31382,0.03044,0.027427,0.17886,-0.094847,0.03044,0.027427,0.16499,-0.11334,0.030696,0.027808,9,9,0.00027382,0.00017666,9.7163e-05,84,8,2,0,0,0,0.84023,1,1,n,y,y,y,y,y,y,m,m,n,m,n,m,2,,,,0,,,1,1,0,0,0,0,,1,1,0,0,0,0,2,,,,,,,,1,1,0,0,0,0,delete,use logfit =1 IF either CW or GN =1
act_ams_1.1Ado_d122_m091,active mobility,Amsterdam,1.1,Adoption over time,Modal share of all trips by residents (walk),% trips by walking,b7,-16.742,-0.0042167,-0.0010874,1996.2,-0.26248,0.272,0.055279,2345.2,2.4124,-4.8878,-8.4205,0.16055,0.13267,0.1654,-0.1128,0.060446,0.045681,0.15869,-0.12175,0.060688,0.045795,9,9,1.2868,0.44118,0.84559,84,8,7,0,1,1,0.78584,1,1,n,y,y,y,y,y,y,y,m,n,m,n,m,4,,"ok, use logfit",,0,,,1,1,0,0,0,0,,1,1,0,0,0,0,3,,,,,,,,1,1,0,0,0,0,delete,use linfit =1 IF either CW or GN =1
act_ams_1.1Ado_d332_m185,active mobility,Amsterdam,1.1,Adoption over time,% trips by walking and biking,market share,b7,-0.0087911,-0.0033221,-0.0016503,2033.8,-499.87,0.83407,0.0025948,3569.9,3.7796,0.19777,-0.28356,0.078513,0.059173,0.22115,-0.038465,0.07736,0.058997,0.20825,-0.055671,0.077999,0.059339,9,9,0.79131,0.40764,0.38366,84,8,7,0,1,0,0.82455,1,1,n,y,y,y,y,y,y,y,m,n,m,n,m,,,,,0,prefer-relative,transformed-marketshare,1,1,0,1,0,0,,1,1,0,1,0,0,4,,,,,,,,1,1,0,1,0,0,,use for … = CW if both GN and CW <> blank
act_ams_1.1Ado_d359_m091,active mobility,Amsterdam,1.1,Adoption over time,Modal share of all trips by residents (walk) EXCLUDING 1930,% trips by walking,b7,1.9434,0.0020703,0.00060028,1970.1,2.2612,0.25429,0.064569,1367,-0.96066,0.56052,0.23091,0.039325,0.033214,0.014739,-0.37937,0.05888,0.051788,0.018126,-0.37462,0.058779,0.052101,8,8,1.2191,0.47191,0.74719,44,6,7,1,0,1,0.89904,1,1,m,y,y,y,y,y,y,y,m,m,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
act_ams_1.1Ado_d360_m185,active mobility,Amsterdam,1.1,Adoption over time,% trips by walking and biking EXCLUDING 1930,market share,b7,1.1077,0.0026517,0.0013983,1969.3,3.9672,0.49714,1.9635,2529.4,-2.3135,0.54632,0.20607,0.047359,0.036072,0.062786,-0.3121,0.068069,0.06083,0.070004,-0.30199,0.067806,0.060625,8,8,1.1264,0.68391,0.44253,44,4,7,1,0,0,0.89687,1,1,m,y,y,y,y,y,y,y,m,m,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
act_bei_1.1Ado_d060_m195,active mobility,Beijing,1.1,Adoption over time,Bicycle modal share,%,b7,-128.93,-0.00040147,-0.01425,1999.7,-0.034083,0.5403,-1544.5,-1.526e+05,28.852,-3.1777,9.3553,0.25892,0.205,-9.2413,-inf,0.4054,0.3851,0.96449,-inf,0.023871,0.0221,3,3,1,0.42569,0.57431,22,2,0,0,0,0,0.60149,1,1,n,m,y,y,y,y,m,y,y,n,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
act_bei_1.1Ado_d332_m185,active mobility,Beijing,1.1,Adoption over time,% trips by walking and biking,market share,b7,-128.93,-0.00040147,-0.01425,1999.7,-0.034083,0.5403,-1544.5,-1.526e+05,28.852,-3.1777,9.3553,0.25892,0.205,-9.2413,-inf,0.4054,0.3851,0.96449,-inf,0.023871,0.0221,3,3,1,0.42569,0.57431,22,2,0,0,0,0,0.60149,1,1,n,m,y,y,y,y,m,y,y,n,m,m,m,,,,,0,prefer-relative,transformed-marketshare,1,1,0,1,0,0,,1,1,0,1,0,0,6,,,,,,,,1,1,0,1,0,0,,
act_chi_1.1Ado_d061_m002,active mobility,China,1.1,Adoption over time,Bicycle ownership,# bikes per hundred households,b7,15.465,0.020393,2.6286,1814.4,0.28415,110.03,3.2025,1817.7,-5121,0,-inf,61.847,47.333,0.20425,-1.3873,55.17,49.509,0.23213,-1.3036,54.195,50.322,4,4,1.7918,0.20794,1.5839,30,1,2,1,1,1,0.47132,0,0,n,m,y,m,y,m,m,y,m,n,m,m,m,4,,"reject, too few points",,0,,,0,1,0,0,0,0,,0,1,0,0,0,0,7,,,,,,,,0,1,0,0,0,0,delete,
act_chi_3.2Adc_d062_m003,active mobility,China,3.2,Adopter characteristics,Bicycle ownership among income groups,# bikes per hundred households (highest 10% income),b7,-0.25049,-0.017188,-3.0744,2008,-17.543,187.66,289.01,1962.5,6300.3,0.82934,-inf,12.667,10.677,0.51703,-0.4489,21.309,19.229,0.56489,-0.30533,20.226,18.246,4,4,1.0823,0.62879,0.45353,21,2,0,1,0,0,0.78003,0,0,y,m,y,y,y,y,y,y,y,m,m,m,m,2,,,,0,,,0,1,,,,,,1,1,0,0,0,0,8,check,,,,,,,1,1,0,0,0,0,delete,
act_chi_3.2Adc_d062_m004,active mobility,China,3.2,Adopter characteristics,Bicycle ownership among income groups,# bikes per hundred households (lowest 10% income),b7,-2.6167,-0.0083411,-1.3736,2006.3,-1.6794,157.06,260.14,1925.7,2886.7,0.61758,-inf,16.895,12.122,0.12506,-1.6248,25.555,25.04,0.14203,-1.5739,25.306,24.861,4,4,1.1498,0.68431,0.46548,21,2,0,1,0,0,0.80089,0,0,m,m,y,y,y,y,y,y,m,m,m,m,m,2,,,,0,,,0,1,,,,,,0,1,0,0,0,0,9,,,,,,,,0,1,0,0,0,0,delete,
act_chi_3.2Adc_d062_m005,active mobility,China,3.2,Adopter characteristics,Bicycle ownership among income groups,# bikes per hundred households (middle income groups),b7,-0.35805,-0.013207,-2.4015,2007.8,-12.273,181.57,265.52,1958.9,4957,0.75315,-inf,14.824,11.464,0.32729,-1.0181,24.472,23.3,0.364,-0.90799,23.795,22.74,4,4,1.1186,0.65538,0.46323,21,2,0,1,0,0,0.79113,0,0,y,m,y,y,y,y,y,y,y,m,m,m,m,2,,,,0,,,0,1,,,,,,1,1,0,0,0,1,10,check,,,,,,,1,1,0,0,0,1,,
