 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,"THIS TABLE USED IN PAPER (TABLE 5), 23 SIs final sample",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# TIME SERIES (selected for use),total count,useable logfits,useable linfits,spatial scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.1 Adoption over Time,23,23,23,early adopting (EA) region only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.1 Adoption over Time,84,77,83,all regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,all other indicators (not 1.1),86,73,82,early adopting (EA) region only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,all other indicators (not 1.1),304,248,280,all regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,total,497,421,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# TIME SERIES,mean slope_log,mean slope_lin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.1 EA region,0.27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.1 ALL regions,0.31,25,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,non1.1s EA region,0.32,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,non1.1s ALL regions,0.26,162824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"coding, Cornwall retreat, 21 July",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sufficiency,digital,consume,green growth,health,,granularity
,indicator,# time series,# social innovations,,,,COUNTS (time series by indicator #),,1.1,1.2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,2.95,3.1,3.2,3.3,3.4,3.5,3.6,3.7,4.1,4.2,4.3,4.4,4.5,4.6,4.7,cluster1,cluster2,cluster3,cluster4,cluster5,ALL HATCH,
,1.1,315,23,,,,active mobility,act,15,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,6,0,0,0,0,0,0,suff,(digi),,,health,,
,1.2,0,0,,,,car ownership,cro,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,suff,,(inv). consume,,,,
